"ProbeID","GeneSymbol"
"11722143_at","TRANK1"
"11722170_a_at","CORO7"
"11722225_a_at","ADAM8"
"11722247_a_at","RASSF1"
"11722251_a_at","NEK2"
"11722269_a_at","SASH3"
"11722300_a_at","ETS1"
"11722313_a_at","RAPGEF6"
"11722321_at","HHEX"
"11722367_a_at","DLGAP5"
"11722368_a_at","TRIM22"
"11722403_a_at","PLEKHO1"
"11722442_a_at","NUF2"
"11722449_x_at","TYMP"
"11722480_a_at","FGR"
"11722512_a_at","SP110"
"11722571_at","CCNA2"
"11722609_a_at","CDC42SE1"
"11722635_at","IL2RB"
"11722655_s_at","STK17A"
"11722660_a_at","NFE2L3"
"11722662_a_at","HPSE"
"11722679_a_at","PARP8"
"11722680_at","HCST"
"11722725_a_at","CSF2RB"
"11722728_a_at","EGR2"
"11722826_a_at","NCAPG"
"11722840_s_at","LYAR"
"11722850_a_at","BIRC3"
"11722874_s_at","MSL3"
"11722880_a_at","PHF19"
"11722886_s_at","EMB"
"11722940_a_at","SRGAP2"
"11722982_a_at","LYST"
"11723010_a_at","KIF20A"
"11723020_a_at","RIPK3"
"11723025_at","FAM26F"
"11723050_a_at","HSPA6"
"11723059_a_at","TAP2"
"11723069_at","GABBR1"
"11723095_a_at","CYLD"
"11723104_at","GNB4"
"11723106_a_at","NCF4"
"11723111_a_at","EMILIN2"
"11723156_a_at","LSP1"
"11723159_at","TMEM229B"
"11723169_s_at","FOXN2"
"11723188_s_at","ADAM19"
"11723192_a_at","UHRF1"
"11723194_x_at","HLADRB1"
"11723195_x_at","HLAE"
"11723264_a_at","CD3D"
"11723287_at","TYROBP"
"11723335_s_at","GMIP"
"11723346_at","LYL1"
"11723368_a_at","ARHGEF6"
"11723378_a_at","CEP110"
"11723400_a_at","STK4"
"11723435_s_at","TTK"
"11723464_s_at","CELF2"
"11723494_a_at","RNF166"
"11723537_a_at","HMHA1"
"11723565_a_at","CENPA"
"11723590_a_at","TTC13"
"11723591_at","LRRC8C"
"11723605_a_at","FAM113B"
"11723612_a_at","TOX2"
"11723623_s_at","TRIM21"
"11723679_s_at","CD69"
"11723692_a_at","CD302"
"11723697_s_at","FLI1"
"11723747_a_at","FAM64A"
"11723854_at","SAMD9"
"11723863_a_at","DOCK10"
"11723871_a_at","DOCK2"
"11723882_x_at","CECR1"
"11723894_a_at","TEP1"
"11723911_a_at","GAB3"
"11723939_a_at","CCNB1"
"11723946_a_at","ACSL5"
"11723950_a_at","PBK"
"11723956_x_at","APOBEC3C"
"11723974_a_at","APOL3"
"11723998_at","SPC25"
"11724004_a_at","FYB"
"11724006_a_at","ENTPD1"
"11724046_a_at","BID"
"11724055_x_at","SGOL2"
"11724118_a_at","SAMD9L"
"11724120_a_at","TRIM59"
"11724163_at","HLADOB"
"11724236_a_at","RIPK2"
"11724237_a_at","LAT2"
"11724325_a_at","RABGAP1L"
"11724326_a_at","ARHGAP25"
"11724328_a_at","UBE2C"
"11724343_at","ITGA4"
"11724354_x_at","ATG16L2"
"11724357_a_at","MYO5A"
"11724374_at","BATF"
"11724375_at","PAG1"
"11724381_at","FAM65B"
"11724399_a_at","DDX60L"
"11724407_s_at","CCNE1"
"11724424_at","GPR68"
"11724435_a_at","TPK1"
"11724464_a_at","ANLN"
"11724485_x_at","CSK"
"11724499_at","MFNG"
"11724509_a_at","PMAIP1"
"11724595_at","RP2"
"11724602_a_at","ERAP1"
"11724615_at","LIMK1"
"11724656_a_at","MAP4K1"
"11724678_a_at","LY86"
"11724683_a_at","CD300A"
"11724685_x_at","IFNAR2"
"11724728_a_at","CD8A"
"11724768_s_at","FCGR2A"
"11724804_x_at","LAIR1"
"11724807_at","CBL"
"11724816_a_at","SH3KBP1"
"11724867_a_at","GAB2"
"11724883_a_at","HAPLN3"
"11724900_a_at","GZMB"
"11724954_s_at","MRC1"
"11724963_s_at","FBXO5"
"11724979_a_at","DPEP2"
"11724997_a_at","CD86"
"11725091_at","RFX5"
"11725124_at","CST7"
"11725174_a_at","ADAP2"
"11725232_at","ATP8B2"
"11725240_at","RTP4"
"11725242_at","PNOC"
"11725249_at","LY75"
"11725255_a_at","IL15"
"11725280_a_at","PRDM8"
"11725379_at","KTELC1"
"11725389_a_at","CD6"
"11725416_at","NKG7"
"11725424_a_at","RAB27A"
"11725429_at","LAMP3"
"11725441_a_at","FOXM1"
"11725455_at","CD247"
"11725476_at","ACAP1"
"11725481_a_at","CD27"
"11725641_at","EFHD2"
"11725722_at","ATAD2"
"11725755_a_at","BTN2A2"
"11725782_at","C5orf39"
"11725790_at","DPYD"
"11725793_s_at","PTGER4"
"11725795_at","S1PR2"
"11725804_a_at","C21orf91"
"11725827_s_at","CD1D"
"11725842_a_at","PIF1"
"11725861_a_at","MYBL1"
"11725966_a_at","ITGB7"
"11725981_at","CCR7"
"11726034_a_at","PTPN6"
"11726040_at","STK17B"
"11726046_s_at","FCGR2B"
"11726122_at","MYO1F"
"11726153_at","POU2AF1"
"11726186_x_at","C12orf48"
"11726217_a_at","PRDM1"
"11726243_a_at","ANKDD1A"
"11726251_a_at","SLC1A3"
"11726254_s_at","CD74"
"11726286_a_at","WARS"
"11726302_a_at","DTL"
"11726324_at","CRLF3"
"11726328_x_at","GBP1"
"11726331_a_at","CEP170"
"11726337_a_at","ALOX5"
"11726353_at","CD180"
"11726373_a_at","HAUS8"
"11726374_a_at","GPR34"
"11726382_a_at","SLAMF1"
"11726392_at","GIMAP2"
"11726421_a_at","APBB1IP"
"11726464_a_at","TMEM149"
"11726473_a_at","DOK3"
"11726532_a_at","CYTH4"
"11726559_s_at","LCP1"
"11726579_a_at","PSME1"
"11726594_at","CTSZ"
"11726617_s_at","CDK1"
"11726647_s_at","BTN3A1"
"11726677_a_at","PSMB9"
"11726689_a_at","STAT1"
"11726777_a_at","LAT"
"11726820_a_at","ARHGAP9"
"11726876_a_at","LOC652346"
"11726894_a_at","IRAK3"
"11726928_s_at","IL18BP"
"11726947_a_at","TLR8"
"11727006_a_at","TAGAP"
"11727044_a_at","TMEM173"
"11727111_a_at","FNBP1"
"11727112_a_at","SIT1"
"11727120_a_at","MYCBP2"
"11727207_a_at","DDHD1"
"11727219_a_at","DSE"
"11727257_a_at","JAK3"
"11727292_a_at","C1orf162"
"11727302_a_at","TMEM71"
"11727325_a_at","GFI1"
"11727331_at","SPAG4"
"11727353_a_at","CENPM"
"11727426_a_at","CANX"
"11727428_at","GPR183"
"11727477_at","SAP30"
"11727489_a_at","KIF11"
"11727522_a_at","ZNF267"
"11727561_x_at","TCF7"
"11727565_a_at","TNFSF13B"
"11727572_s_at","KLHL6"
"11727609_at","KLRB1"
"11727623_at","EID3"
"11727694_a_at","KLRK1"
"11727731_at","RASGEF1A"
"11727740_a_at","CD300LF"
"11727770_a_at","NIN"
"11727835_a_at","EVL"
"11727876_at","CYBB"
"11727888_a_at","CPNE5"
"11727913_a_at","FMNL1"
"11727920_a_at","OSTF1"
"11727942_a_at","FPR3"
"11727968_at","ESCO2"
"11727992_at","STX11"
"11728056_a_at","CASP10"
"11728062_a_at","SH3BP1"
"11728125_a_at","GZMH"
"11728189_a_at","CXCR4"
"11728236_at","CD5"
"11728265_a_at","LILRB2"
"11728267_s_at","LILRB1"
"11728290_a_at","SH2D1A"
"11728300_at","CCNE2"
"11728378_a_at","EED"
"11728405_s_at","LRRC33"
"11728406_x_at","DERL3"
"11728421_a_at","PLA2G7"
"11728423_a_at","PILRA"
"11728480_a_at","JAKMIP1"
"11728489_a_at","CLEC4A"
"11728503_at","CD300C"
"11728507_at","LY96"
"11728512_a_at","TRAF5"
"11728515_a_at","SP140"
"11728523_a_at","MYCL1"
"11728560_at","GZMK"
"11728572_s_at","MBNL1"
"11728643_s_at","ACTR3"
"11728679_a_at","CD163"
"11728720_at","RHOH"
"11728728_s_at","ADRB2"
"11728763_x_at","GAL3ST4"
"11728780_a_at","ZAP70"
"11728851_s_at","RAB39B"
"11728901_a_at","DAPP1"
"11728926_at","NFAM1"
"11728944_a_at","LST1"
"11728961_a_at","DISC1"
"11729000_x_at","CD84"
"11729110_s_at","ADAMDEC1"
"11729138_a_at","SLAMF7"
"11729158_at","UBE2T"
"11729219_at","NCK1"
"11729226_x_at","ITGAL"
"11729251_at","MNDA"
"11729263_x_at","SERPINB9"
"11729274_a_at","GBP5"
"11729338_x_at","PSTPIP2"
"11729341_at","POU2F2"
"11729406_a_at","IFNGR1"
"11729419_a_at","ATP2A3"
"11729423_at","CD244"
"11729424_s_at","CCRL2"
"11729431_a_at","KIAA1274"
"11729458_a_at","FANCI"
"11729479_a_at","CLEC12A"
"11729488_x_at","DCLRE1C"
"11729520_at","CXorf65"
"11729523_a_at","NLRC5"
"11729575_a_at","XBP1"
"11729610_a_at","ELMO1"
"11729649_at","PRF1"
"11729721_s_at","LILRB3"
"11729747_a_at","IL10RA"
"11729758_at","RGS18"
"11729769_a_at","CD38"
"11729772_at","RNASE2"
"11729821_at","IL27RA"
"11729855_at","CD3E"
"11729924_at","TET3"
"11729977_a_at","CXCR6"
"11729996_a_at","SLFN12"
"11730012_s_at","KBTBD8"
"11730029_a_at","E2F7"
"11730060_a_at","LAG3"
"11730096_a_at","BCL2A1"
"11730099_a_at","FLT3LG"
"11730109_a_at","NLRC3"
"11730111_a_at","DEPDC1"
"11730148_a_at","GPR114"
"11730207_at","ARAP2"
"11730247_a_at","PVRIG"
"11730321_a_at","CLEC2D"
"11730342_x_at","SLA2"
"11730457_a_at","AIM2"
"11730477_at","RNF125"
"11730576_a_at","ALPK1"
"11730636_a_at","CTLA4"
"11730660_a_at","LY9"
"11730719_x_at","AP1S2"
"11730729_a_at","TAP1"
"11730782_x_at","SLC2A6"
"11730806_at","BTN3A2"
"11730813_at","LILRB4"
"11730821_x_at","CDKN3"
"11730847_a_at","BTK"
"11730909_s_at","CCR5"
"11730935_a_at","AKNA"
"11730947_at","IFNG"
"11730994_at","S1PR4"
"11730996_a_at","AMICA1"
"11731004_at","C14orf106"
"11731039_s_at","IL15RA"
"11731065_a_at","GIMAP1"
"11731135_a_at","LTB4R"
"11731147_at","TLR7"
"11731227_a_at","MATK"
"11731281_a_at","NFATC1"
"11731290_a_at","PYHIN1"
"11731340_at","NOD2"
"11731360_a_at","ICOS"
"11731366_a_at","TSPAN32"
"11731422_s_at","FCGR3A"
"11731602_at","TMEM154"
"11731617_x_at","SIDT1"
"11731620_a_at","ARRB2"
"11731669_at","GPR65"
"11731676_s_at","CCR2"
"11731728_at","P2RY13"
