"ProbeID","GeneSymbol"
"11720932_s_at","DLST"
"11720946_at","CA12"
"11720958_a_at","SAT2"
"11720989_a_at","SLC7A7"
"11721026_a_at","OCEL1"
"11721061_a_at","IQGAP2"
"11721069_a_at","DGKD"
"11721075_a_at","MTCH2"
"11721111_a_at","ACOT13"
"11721114_a_at","DERA"
"11721126_a_at","ENPEP"
"11721166_a_at","APOM"
"11721172_at","TRIM32"
"11721184_at","TSPAN33"
"11721187_a_at","ARHGEF9"
"11721223_at","ACOX2"
"11721230_a_at","BEND7"
"11721238_s_at","ATP5L"
"11721261_a_at","ETNK2"
"11721312_a_at","ATOX1"
"11721317_at","PARM1"
"11721351_at","SLC1A1"
"11721399_a_at","SLIT2"
"11721436_a_at","STC2"
"11721445_x_at","ERBB3"
"11721446_a_at","SNX4"
"11721483_at","CCDC85B"
"11721491_a_at","FBP1"
"11721499_x_at","CTSA"
"11721514_a_at","NIT2"
"11721537_a_at","COL4A3BP"
"11721561_a_at","AHCYL2"
"11721591_a_at","FANCC"
"11721600_s_at","BRPF3"
"11721618_a_at","C22orf36"
"11721625_s_at","GLUL"
"11721665_a_at","PLA2G16"
"11721724_a_at","GLB1L2"
"11721735_at","DHTKD1"
"11721743_a_at","TMEM150A"
"11721789_a_at","PTPRD"
"11721796_at","ALDH9A1"
"11721859_at","MIPEP"
"11721877_s_at","MT1F"
"11721887_a_at","CRYM"
"11721902_a_at","SERPINI1"
"11721940_a_at","CYP3A5"
"11721942_a_at","ZFAT"
"11721960_a_at","SNX30"
"11721967_a_at","IGSF11"
"11721974_a_at","SUOX"
"11722033_a_at","SLC12A4"
"11722042_s_at","PDSS2"
"11722053_a_at","NQO2"
"11722070_a_at","CHPT1"
"11722091_a_at","PRR5"
"11722121_a_at","PC"
"11722130_s_at","ECHDC2"
"11722158_a_at","SLC7A8"
"11722172_a_at","TOLLIP"
"11722181_a_at","ATP6V1C1"
"11722201_x_at","EIF6"
"11722208_a_at","PTGS1"
"11722226_s_at","ACN9"
"11722228_at","DNAJC30"
"11722229_a_at","PPA2"
"11722244_at","TMEM27"
"11722249_s_at","C10orf11"
"11722256_a_at","SCRN2"
"11722293_a_at","NAPSA"
"11722298_a_at","RAB7L1"
"11722338_at","PEX7"
"11722339_a_at","DIAPH2"
"11722346_a_at","ACSS2"
"11722349_a_at","LIME1"
"11722355_s_at","DAB2"
"11722377_at","PNPO"
"11722380_at","NUDT3"
"11722404_s_at","MTHFS"
"11722412_s_at","SLC7A1"
"11722420_a_at","PPP3CC"
"11722458_a_at","TMEM206"
"11722484_a_at","C8orf82"
"11722514_a_at","C9orf103"
"11722519_at","HKDC1"
"11722540_a_at","LCLAT1"
"11722555_s_at","HADH"
"11722663_a_at","GABRB3"
"11722740_a_at","DDC"
"11722758_at","C5orf23"
"11722769_at","MMP24"
"11722779_a_at","SLC6A19"
"11722818_a_at","GGH"
"11722853_a_at","HABP4"
"11722873_a_at","RTKN"
"11722951_a_at","GAL3ST1"
"11722956_at","GLTPD2"
"11722968_a_at","TRPV4"
"11722993_x_at","PLIN3"
"11722998_a_at","ALDH6A1"
"11723019_at","SUSD2"
"11723021_a_at","BCKDHB"
"11723040_a_at","FABP1"
"11723047_at","CRABP1"
"11723063_a_at","GCHFR"
"11723080_at","C2orf47"
"11723085_s_at","IL17RB"
"11723091_s_at","FNIP2"
"11723101_a_at","DDX10"
"11723134_a_at","SLC22A17"
"11723151_s_at","C7orf10"
"11723175_at","PLEKHA6"
"11723221_a_at","EXOC6"
"11723224_s_at","C6orf211"
"11723252_a_at","SERPINC1"
"11723284_at","REEP6"
"11723296_x_at","GSTM4"
"11723303_at","PDZK1IP1"
"11723312_a_at","PXMP2"
"11723315_a_at","CAPN3"
"11723413_at","CYP17A1"
"11723426_a_at","ETFB"
"11723473_a_at","LYPLAL1"
"11723476_at","SLC17A5"
"11723501_at","PRLR"
"11723513_a_at","CDC14B"
"11723520_a_at","GRTP1"
"11723545_a_at","PLD1"
"11723550_a_at","ABHD6"
"11723585_a_at","SMPDL3A"
"11723594_a_at","TNK2"
"11723652_a_at","MUT"
"11723662_a_at","SPHK2"
"11723764_a_at","MCM3AP"
"11723864_s_at","MTMR11"
"11723876_at","KCNK5"
"11723883_at","ANKRD57"
"11723896_a_at","JAG2"
"11723909_at","ESPL1"
"11723929_a_at","OGDHL"
"11723948_s_at","SLC3A1"
"11723966_a_at","SLC22A11"
"11724021_at","HIST1H2BD"
"11724039_at","EHHADH"
"11724103_x_at","C8orf44"
"11724104_s_at","SGK3"
"11724129_at","RNF186"
"11724139_s_at","SACS"
"11724173_at","SDSL"
"11724214_a_at","SPRYD4"
"11724219_x_at","GSTA1"
"11724289_at","C17orf61"
"11724320_x_at","C11orf54"
"11724323_a_at","SLC12A6"
"11724371_at","SLC22A7"
"11724411_a_at","PPARA"
"11724444_a_at","ASB9"
"11724454_at","SLC22A4"
"11724470_s_at","MGST1"
"11724495_a_at","TMED4"
"11724523_a_at","CDK5RAP2"
"11724525_at","FAHD1"
"11724534_a_at","DOK5"
"11724555_x_at","FOLH1"
"11724565_at","TLN2"
"11724611_a_at","DYRK2"
"11724617_a_at","MOCS1"
"11724622_a_at","HPN"
"11724639_a_at","PAFAH2"
"11724667_s_at","ENPP3"
"11724671_a_at","AMDHD1"
"11724701_x_at","AS3MT"
"11724767_a_at","PMM1"
"11724775_at","FDX1"
"11724800_a_at","QPRT"
"11724847_a_at","GBA3"
"11724862_at","THNSL1"
"11724864_a_at","GJB1"
"11724871_a_at","CLDN2"
"11724888_a_at","CARD10"
"11724919_a_at","HSD17B8"
"11724939_at","CDHR3"
"11724959_s_at","CDK14"
"11724965_at","RDH5"
"11724966_s_at","CPT1A"
"11725083_s_at","HDAC6"
"11725085_a_at","LANCL2"
"11725108_a_at","POLR3GL"
"11725134_a_at","GCOM1"
"11725152_at","C14orf149"
"11725200_a_at","PTH1R"
"11725213_at","METTL7B"
"11725214_a_at","HAAO"
"11725237_a_at","RBPMS2"
"11725269_at","SLC12A3"
"11725292_a_at","DAO"
"11725452_at","CCDC90A"
"11725453_at","NAT8"
"11725465_a_at","LRRC28"
"11725496_a_at","AGPAT9"
"11725508_a_at","SLC7A6"
"11725518_at","FRAT2"
"11725548_a_at","PDE4A"
"11725552_a_at","UGT2A3"
"11725554_at","TMEM133"
"11725590_a_at","NUDT6"
"11725595_a_at","IYD"
"11725597_a_at","SULT1C2"
"11725602_at","DENND5B"
"11725624_at","ACE2"
"11725658_a_at","MTFR1"
"11725716_a_at","KIF21A"
"11725726_a_at","C1orf56"
"11725812_a_at","KLC1"
"11725813_at","MAST3"
"11725829_at","TM4SF5"
"11725854_a_at","KIAA0564"
"11725890_s_at","ABCC6"
"11725891_a_at","ACY1"
"11725902_s_at","TMEM135"
"11725979_a_at","CALB1"
"11725993_a_at","SLC22A8"
"11726022_a_at","FAM177A1"
"11726043_a_at","PCCB"
"11726049_a_at","FMO5"
"11726130_a_at","PKP2"
"11726160_a_at","UPP2"
"11726166_at","ZNF518B"
"11726174_at","SAMD5"
"11726210_at","KLF15"
"11726212_s_at","CCL14CCL15"
"11726213_x_at","CCL15"
"11726215_a_at","DENND1A"
"11726235_a_at","ACY3"
"11726264_s_at","STRADB"
"11726273_a_at","PCK1"
"11726322_at","ACOX1"
"11726330_a_at","SLC23A1"
"11726383_a_at","OLFM1"
"11726386_at","PDZD8"
"11726405_a_at","ASPA"
"11726437_a_at","CMTM8"
"11726519_a_at","TINAG"
"11726523_s_at","ZFHX3"
"11726545_x_at","GOLGA2B"
"11726585_at","PIPOX"
"11726598_a_at","LPPR1"
"11726603_at","DARS2"
"11726612_a_at","SLC22A6"
"11726614_at","CDH2"
"11726644_at","PEX3"
"11726645_a_at","CDHR5"
"11726683_a_at","C16orf5"
"11726700_a_at","AFTPH"
"11726788_a_at","DEPDC7"
"11726810_s_at","C19orf77"
"11726869_a_at","C19orf28"
"11726884_a_at","LDHD"
"11726892_a_at","OSTalpha"
"11726893_a_at","ST7"
"11726907_at","TRIM15"
"11726940_a_at","SLC7A9"
"11727009_at","ALDH7A1"
"11727058_at","MRPS36"
"11727071_at","ENPP6"
"11727084_at","GJB2"
"11727094_at","TMEM19"
"11727103_at","IGF2BP1"
"11727122_at","LRP2"
"11727125_a_at","PVRL3"
"11727141_s_at","EPB41L3"
"11727159_a_at","LRP5"
"11727166_a_at","FBXO15"
"11727176_a_at","ENTPD5"
"11727192_at","ACOT4"
"11727215_a_at","NRG1"
"11727251_at","RDH12"
"11727252_a_at","KLKB1"
"11727279_s_at","SLC4A7"
"11727298_at","C10orf114"
"11727323_a_at","NAGS"
"11727335_a_at","ACMSD"
"11727348_a_at","BAIAP2L2"
"11727385_a_at","PCCA"
"11727400_a_at","GSTZ1"
"11727416_a_at","CRYL1"
"11727427_a_at","ACSM3"
"11727518_at","LOC100287428"
"11727524_at","ACSM5"
"11727552_at","FZD2"
"11727562_at","ABHD15"
"11727573_a_at","RBP5"
"11727586_s_at","NUDT12"
"11727607_a_at","OGG1"
"11727665_a_at","HAO2"
"11727751_a_at","NR5A2"
"11727759_a_at","CTXN3"
"11727763_a_at","PRODH2"
"11727779_at","GHITM"
"11727796_a_at","NDFIP2"
"11727804_s_at","PRDX3"
"11727820_a_at","CISD1"
"11727822_a_at","TPMT"
"11727840_at","HPD"
"11727869_s_at","GALK2"
"11727872_at","NHEJ1"
"11727881_at","BBS12"
"11727936_a_at","SLC9A3R1"
"11727938_s_at","SEMA3B"
"11727946_at","SHPK"
"11727963_x_at","CYP4F2"
"11727975_a_at","ALDH8A1"
"11727976_a_at","KLK1"
"11728008_x_at","FUT3"
"11728021_a_at","CHCHD4"
"11728032_at","TMEM174"
"11728107_a_at","SLC23A3"
"11728146_a_at","AQP11"
"11728185_at","ZSWIM5"
"11728248_a_at","TSFM"
"11728273_a_at","C6orf72"
"11728349_a_at","STIM2"
"11728372_a_at","DNAJC16"
"11728466_a_at","GLDC"
"11728542_x_at","MRO"
"11728575_a_at","CWH43"
"11728598_a_at","ALLC"
"11728604_at","RTDR1"
"11728617_at","CARD6"
"11728625_a_at","SLC22A12"
"11728630_at","DHDH"
"11728664_x_at","HSD3B2"
"11728677_a_at","CES2"
"11728686_a_at","SFXN1"
"11728695_at","ARG2"
"11728697_a_at","HSPA4L"
"11728701_a_at","CD55"
