"ProbeID","GeneSymbol"
"11716411_x_at","RPS4Y1"
"11719628_a_at","HDHD1A"
"11720807_x_at","EIF1AY"
"11724075_a_at","DDX3Y"
"11725293_at","USP9Y"
"11726396_x_at","KAL1"
"11726813_a_at","KDM5D"
"11728774_at","CYorf15B"
"11729036_x_at","PRKY"
"11729084_a_at","ZFY"
"11732787_a_at","CYorf15A"
"11735625_a_at","UTY"
"11738620_a_at","NLGN4Y"
"11743085_a_at","KDM6A"
"11745579_at","TTTY14"
"11750283_at","TTTY9A"
"11754194_s_at","XIST"
"11761133_at","KDM5C"
